B: Magnus
N: Bobbi

06 25
64 54
10 20
66 46
25 33
75 42
14 34
65 45
01 22
42 31
05 14
45 35
14 36
74 65
34 44
73 74
22 01
65 75
36 25
61 51
16 26
76 55
00 10
75 66
25 70
67 47
03 14
31 53
33 45
c54 45
07 06
53 31
12 32
55 43
06 05
63 53
05 06
53 44
01 22
66 75
17 27
74 30
14 25
62 52
25 36
30 20
04 14
31 40
36 45
c72 45
11 31
45 12
32 42
40 31
02 11
12 01
11 02
20 10
70 52
75 76
22 10
43 62
13 33
35 25
c14 03
71 50
33 43
76 65
52 70
01 34
02 11
31 20
06 05
77 70
11 02
34 23
43 53
70 71
42 51
71 76
05 06
65 74
02 13
50 42
13 02
23 56
02 46
56 23
46 35
23 14
c03 13
42 34
c13 12
20 02
35 24
02 24
06 03
60 51
03 01
34 26
15 24
76 66
01 05
14 32
24 34
26 45
05 07
66 56
53 62
45 66
10 02
32 50
07 03
50 23
c12 22
74 63
22 31
56 55
02 21
63 52
03 02
c52 61
27 37
61 50
02 01
51 41
21 02
50 60
01 11
55 52
11 16
60 61
31 20
23 14
16 15
61 50
20 11
52 12
c11 00
12 22
02 23
22 21
15 17
50 60
23 44
66 45
44 32
41 31
34 44
45 33
END:6
